w2:4.3cm;l2:30.3cm;w1:4cm;l1:23.75cm;;;;;;;;;;;;;;;;;
2.75002;;;;;;;;;;;;;;;;;;;;
2.75996;;;;;;;;;;;;;;;;;;;;
2.77002;;;;;;;;;;;;;;;;;;;;
2.78003;;;;;;;;;;;;;;;;;;;;
2.79001;;;;;;;;;;;;;;;;;;;;
2.80997;;;;;;;;;;;;;;;;;;;;
2.82002;;;;;;;;;;;;;;;;;;;;
2.83001;;;;;;;;;;;;;;;;;;;;
2.84003;;;;;;;;;;;;;;;;;;;;
2.84994;;;;;;;;;;;;;;;;;;;;
2.86;;;;;;;;;;;;;;;;;;;;
2.87003;;;;;;;;;;;;;;;;;;;;
2.88;;;;;;;;;;;;;;;;;;;;
2.89001;;;;;;;;;;;;;;;;;;;;
2.89999;;;;;;;;;;;;;;;;;;;;
2.90996;;;;;;;;;;;;;;;;;;;;
2.91996;;;;;;;;;;;;;;;;;;;;
2.93;;;;;;;;;;;;;;;;;;;;
2.94004;;;;;;;;;;;;;;;;;;;;
2.94996;;;;;;;;;;;;;;;;;;;;
2.95997;;;;;;;;;;;;;;;;;;;;
2.97;;;;;;;;;;;;;;;;;;;;
2.97996;;;;;;;;;;;;;;;;;;;;
2.98998;;;;;;;;;;;;;;;;;;;;
3.00002;;;;;;;;;;;;;;;;;;;;
3.00997;;;;;;;;;;;;;;;;;;;;
3.01996;;;;;;;;;;;;;;;;;;;;
3.03001;;;;;;;;;;;;;;;;;;;;
3.04;;;;;;;;;;;;;;;;;;;;
3.04997;;;;;;;;;;;;;;;;;;;;
3.05995;;;;;;;;;;;;;;;;;;;;
3.06999;;;;;;;;;;;;;;;;;;;;
3.07995;;;;;;;;;;;;;;;;;;;;
3.09001;;;;;;;;;;;;;;;;;;;;
3.1;;;;;;;;;;;;;;;;;;;;
3.11;;;;;;;;;;;;;;;;;;;;
3.12001;;;;;;;;;;;;;;;;;;;;
3.13001;;;;;;;;;;;;;;;;;;;;
3.14002;;;;;;;;;;;;;;;;;;;;
3.15002;;;;;;;;;;;;;;;;;;;;
3.15995;;;;;;;;;;;;;;;;;;;;
3.17;;;;;;;;;;;;;;;;;;;;
3.18002;;;;;;;;;;;;;;;;;;;;
3.19;;;;;;;;;;;;;;;;;;;;
3.2;;;;;;;;;;;;;;;;;;;;
3.21004;;;;;;;;;;;;;;;;;;;;
3.22;;;;;;;;;;;;;;;;;;;;
3.23002;;;;;;;;;;;;;;;;;;;;
3.24001;;;;;;;;;;;;;;;;;;;;
3.25003;;;;;;;;;;;;;;;;;;;;
3.26;;;;;;;;;;;;;;;;;;;;
3.26997;;;;;;;;;;;;;;;;;;;;
3.27996;;;;;;;;;;;;;;;;;;;;
3.29998;;;;;;;;;;;;;;;;;;;;
3.31007;;;;;;;;;;;;;;;;;;;;
3.31997;;;;;;;;;;;;;;;;;;;;
3.32996;;;;;;;;;;;;;;;;;;;;
3.34001;;;;;;;;;;;;;;;;;;;;
3.35001;;;;;;;;;;;;;;;;;;;;
3.35994;;;;;;;;;;;;;;;;;;;;
3.36997;;;;;;;;;;;;;;;;;;;;
3.38001;;;;;;;;;;;;;;;;;;;;
3.38994;;;;;;;;;;;;;;;;;;;;
3.40001;;;;;;;;;;;;;;;;;;;;
3.40993;;;;;;;;;;;;;;;;;;;;
3.41993;;;;;;;;;;;;;;;;;;;;
3.43002;;;;;;;;;;;;;;;;;;;;
3.43997;;;;;;;;;;;;;;;;;;;;
3.44997;;;;;;;;;;;;;;;;;;;;
3.45994;;;;;;;;;;;;;;;;;;;;
3.46997;;;;;;;;;;;;;;;;;;;;
3.47997;;;;;;;;;;;;;;;;;;;;
3.49003;;;;;;;;;;;;;;;;;;;;
3.50001;;;;;;;;;;;;;;;;;;;;
3.50997;;;;;;;;;;;;;;;;;;;;
3.51999;;;;;;;;;;;;;;;;;;;;
3.52997;;;;;;;;;;;;;;;;;;;;
3.53997;;;;;;;;;;;;;;;;;;;;
3.54998;;;;;;;;;;;;;;;;;;;;
3.55993;;;;;;;;;;;;;;;;;;;;
3.56997;;;;;;;;;;;;;;;;;;;;
3.58002;;;;;;;;;;;;;;;;;;;;
3.59001;;;;;;;;;;;;;;;;;;;;
3.60001;;;;;;;;;;;;;;;;;;;;
3.61001;;;;;;;;;;;;;;;;;;;;
3.62001;;;;;;;;;;;;;;;;;;;;
3.63001;;;;;;;;;;;;;;;;;;;;
3.64;;;;;;;;;;;;;;;;;;;;
3.64997;;;;;;;;;;;;;;;;;;;;
3.65994;;;;;;;;;;;;;;;;;;;;
3.66998;;;;;;;;;;;;;;;;;;;;
3.67995;;;;;;;;;;;;;;;;;;;;
3.68998;;;;;;;;;;;;;;;;;;;;
